# AEROCUBE 6A TLE list generated on 2018-09-21 15:08:40.883252
# epoch, line1, line2 
2018-04-30 05:11:03.890400, 1 40045U 14033AM  18120.21601725  .00000301  00000-0  50981-4 0  9991, 2 40045  97.8318   1.3945 0058146 349.5289  10.4705 14.75117346207451
2018-05-01 08:51:35.438688, 1 40045U 14033AM  18121.36916017  .00000282  00000-0  48289-4 0  9997, 2 40045  97.8315   2.5105 0058043 345.8173  14.1404 14.75118083207621
2018-05-02 14:09:47.624256, 1 40045U 14033AM  18122.59013454  .00000292  00000-0  49750-4 0  9991, 2 40045  97.8313   3.6921 0057934 341.8740  18.0403 14.75119009207802
2018-05-03 14:34:57.746784, 1 40045U 14033AM  18123.60761281  .00000290  00000-0  49479-4 0  9998, 2 40045  97.8311   4.6768 0057843 338.5803  21.2986 14.75119682207957
2018-05-04 15:00:07.841664, 1 40045U 14033AM  18124.62509076  .00000280  00000-0  47986-4 0  9993, 2 40045  97.8309   5.6614 0057748 335.2839  24.5605 14.75120322208107
2018-05-05 13:47:37.243104, 1 40045U 14033AM  18125.57473661 +.00000278 +00000-0 +47767-4 0  9992, 2 40045 097.8308 006.5804 0057660 332.2051 027.6080 14.75120973208005
2018-05-06 14:12:47.254176, 1 40045U 14033AM  18126.59221359 +.00000370 +00000-0 +61035-4 0  9997, 2 40045 097.8307 007.5650 0057568 328.9003 030.8803 14.75122283208151
2018-05-07 14:37:57.249696, 1 40045U 14033AM  18127.60969039 +.00000382 +00000-0 +62797-4 0  9993, 2 40045 097.8306 008.5496 0057485 325.5876 034.1615 14.75123120208304
2018-05-08 05:17:03.229728, 1 40045U 14033AM  18128.22017627  .00000391  00000-0  64091-4 0  9998, 2 40045  97.8306   9.1403 0057426 323.5983  36.1327 14.75123668208636
2018-05-09 12:12:55.810656, 1 40045U 14033AM  18129.50897929  .00000360  00000-0  59564-4 0  9996, 2 40045  97.8305  10.3874 0057321 319.3876  40.3064 14.75124638208823
2018-05-10 14:15:46.370016, 1 40045U 14033AM  18130.59428669 +.00000354 +00000-0 +58769-4 0  9997, 2 40045 097.8304 011.4376 0057235 315.8424 043.8224 14.75125575208743
2018-05-11 14:40:56.216928, 1 40045U 14033AM  18131.61176177 +.00000391 +00000-0 +64029-4 0  9992, 2 40045 097.8302 012.4222 0057158 312.5071 047.1317 14.75126743208892
2018-05-12 05:20:02.111424, 1 40045U 14033AM  18132.22224666  .00000404  00000-0  65966-4 0  9993, 2 40045  97.8302  13.0129 0057104 310.5056  49.1186 14.75127429209223
2018-05-13 13:53:35.183616, 1 40045U 14033AM  18133.57887944 +.00000356 +00000-0 +59017-4 0  9992, 2 40045 097.8300 014.3255 0057012 306.0581 053.5354 14.75128483209188
2018-05-14 15:56:25.604736, 1 40045U 14033AM  18134.66418524 +.00000357 +00000-0 +59207-4 0  9999, 2 40045 097.8298 015.3756 0056933 302.4883 057.0830 14.75129504209348
2018-05-15 14:43:54.712416, 1 40045U 14033AM  18135.61382769 +.00000346 +00000-0 +57542-4 0  9994, 2 40045 097.8297 016.2945 0056875 299.3608 060.1929 14.75130250209480
2018-05-16 05:23:00.548160, 1 40045U 14033AM  18136.22431190  .00000357  00000-0  59161-4 0  9996, 2 40045  97.8296  16.8851 0056836 297.3497  62.1935 14.75130889209816
2018-05-17 13:56:33.487296, 1 40045U 14033AM  18137.58094314 +.00000340 +00000-0 +56807-4 0  9995, 2 40045 097.8294 018.1977 0056756 292.8742 066.6481 14.75132074209770
